(00,00) ' ' stk=[]
(01,00) ' ' stk=[]
(02,00) ' ' stk=[]
(03,00) ' ' stk=[]
(04,00) ' ' stk=[]
(05,00) ' ' stk=[]
(06,00) ' ' stk=[]
(07,00) ' ' stk=[]
(08,00) ' ' stk=[]
(09,00) ' ' stk=[]
(10,00) ' ' stk=[]
(11,00) ' ' stk=[]
(12,00) ' ' stk=[]
(13,00) ' ' stk=[]
(14,00) ' ' stk=[]
(15,00) ' ' stk=[]
(16,00) ' ' stk=[]
(17,00) ' ' stk=[]
(18,00) ' ' stk=[]
(19,00) ' ' stk=[]
(20,00) 'v' stk=[]
(20,01) '<' stk=[]
(19,01) ' ' stk=[]
(18,01) '"' stk=[]
(17,01) ' ' stk=[]
(16,01) ':' stk=[32]
(15,01) 'g' stk=[32, 58]
(14,01) 'a' stk=[32, 58, 103]
(13,01) 'l' stk=[32, 58, 103, 97]
(12,01) 'f' stk=[32, 58, 103, 97, 108]
(11,01) ' ' stk=[32, 58, 103, 97, 108, 102]
(10,01) 'e' stk=[32, 58, 103, 97, 108, 102, 32]
(09,01) 'h' stk=[32, 58, 103, 97, 108, 102, 32, 101]
(08,01) 't' stk=[58, 103, 97, 108, 102, 32, 101, 104]
(07,01) ' ' stk=[103, 97, 108, 102, 32, 101, 104, 116]
(06,01) 'r' stk=[97, 108, 102, 32, 101, 104, 116, 32]
(05,01) 'e' stk=[108, 102, 32, 101, 104, 116, 32, 114]
(04,01) 't' stk=[102, 32, 101, 104, 116, 32, 114, 101]
(03,01) 'n' stk=[32, 101, 104, 116, 32, 114, 101, 116]
(02,01) 'E' stk=[101, 104, 116, 32, 114, 101, 116, 110]
(01,01) '"' stk=[104, 116, 32, 114, 101, 116, 110, 69]
(00,01) ' ' stk=[104, 116, 32, 114, 101, 116, 110, 69]
(79,01) ' ' stk=[104, 116, 32, 114, 101, 116, 110, 69]
(78,01) '<' stk=[104, 116, 32, 114, 101, 116, 110, 69]
(77,01) '0' stk=[104, 116, 32, 114, 101, 116, 110, 69]
(76,01) '5' stk=[116, 32, 114, 101, 116, 110, 69, 0]
(75,01) ' ' stk=[32, 114, 101, 116, 110, 69, 0, 5]
(74,01) '5' stk=[32, 114, 101, 116, 110, 69, 0, 5]
(73,01) '+' stk=[114, 101, 116, 110, 69, 0, 5, 5]
(72,01) ' ' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(71,01) '"' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(70,01) '!' stk=[32, 114, 101, 116, 110, 69, 0, 10]
(69,01) '!' stk=[114, 101, 116, 110, 69, 0, 10, 33]
(68,01) '!' stk=[101, 116, 110, 69, 0, 10, 33, 33]
(67,01) '!' stk=[116, 110, 69, 0, 10, 33, 33, 33]
(66,01) '!' stk=[110, 69, 0, 10, 33, 33, 33, 33]
(65,01) '!' stk=[69, 0, 10, 33, 33, 33, 33, 33]
(64,01) 'E' stk=[0, 10, 33, 33, 33, 33, 33, 33]
(63,01) 'P' stk=[10, 33, 33, 33, 33, 33, 33, 69]
(62,01) 'O' stk=[33, 33, 33, 33, 33, 33, 69, 80]
(61,01) 'N' stk=[33, 33, 33, 33, 33, 69, 80, 79]
(60,01) '"' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(59,01) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(58,01) '^' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(58,00) '<' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(57,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(56,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(55,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(54,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(53,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(52,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(51,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(50,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(49,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(48,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(47,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(46,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(45,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(44,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(43,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(42,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(41,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(40,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(39,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(38,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(37,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(36,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(35,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(34,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(33,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(32,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(31,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(30,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(29,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(28,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(27,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(26,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(25,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(24,00) ' ' stk=[33, 33, 33, 33, 69, 80, 79, 78]
(23,00) '^' stk=[33, 33, 33, 33, 69, 80, 79, 78]
